week,letter,day,classes,room,lesson,notes,hwk,event,time,break,lunch
9,A,MON,8X1.Ph,B8,4,"COVER: Perhaps pupils could mark their Space tests, using the mark schemes. Alternatively, they could do a Powerpoint presentation on the plans for a mission to Mars", , ,1220  1355, ,12:50
9,A,MON,11C2,B8,5,COVER: MS Forms 6 mark question tasks on Electric motors - link posted on Go4,*, ,1355  1510, , 
9,A,TUE,10T2,B5,1,"COVER: Physics book, SP2h p28/29. Braking force and work done. Pupils make notes on the equation form the book then try question 3 from the worksheet attached to the email. ", , ,0850  0955, , 
9,A,TUE,PPA,-,2,..., , ,0955  1100, , 
9,A,TUE,PPA,-,3,..., , ,1100  1220, , 
9,A,TUE,11T2,B8,4,COVER: MS Forms 6 mark question tasks on Electric motors - link posted on Go4, , ,1220  1355, ,13:25
9,A,TUE,7X1.Ph,B8,5,COVER: Use the document attached to the email to review learning of the Force topic working through the tasks - this can roll over onto next lessonn, , ,1355  1510, , 
9,A,WED,7Y1.Ph,B8,1,"COVER: Use the document attached to the email to review learning of the Forces topic, using Activate 1 books - this can roll over to next lesson", , ,0850  0955, , 
9,A,WED,11T2,B8,2,COVER: Motor Effect - lesson posted on Go4, , ,0955  1100, , 
9,A,WED,PPA,B8,3,..., , ,1100  1220, , 
9,A,WED,10T2,B3,4,"Use the email attached worksheet. They did Q3 on paper yesterday. Today, try the other questions. They may do plot the graphs on Excel if the cover teacher wants, but should sketch them in their books, and note answers to the questions in the bookss", , ,1220  1355, ,12:50
9,A,WED,9Y2.Ph,B3,5,"COVER: Activate 2, p164-165, P2:3.4, Note learning objectives in book, then look up keywords in bold in the glossary and note their meanings. Draw the dame diagram and do Qu.B. The draw the object/arrow diagram with caption and complete tasks 1,2,and 3. ",*, ,1355  1510, , 
9,A,THU,10CS,G4,1,Tuples 1/2 - lesson posted on Go4, ,briefing,0850  0955, , 
9,A,THU,10CS,G4,2,Tuples 2/2 - lesson posted on Go4,*, ,0955  1100, , 
9,A,THU,PPA,-,3,...., , ,1100  1220, , 
9,A,THU,9Y1.CS,B8,4,COVER: Autumn 2 Lesson 1 - Binary - posted on Go4,*, ,1220  1355, ,12:20
